year,co2,coal_co2,oil_co2,gas_co2,cement_co2,co2_per_capita,primary_energy_consumption,total_ghg,methane,nitrous_oxide,share_global_co2,gdp
2000,987.065,572.903,313.441,52.791,45.957,0.933,3725.401,2005.885,685.316,183.787,3.869,2804478499774
2001,1001.198,582.111,317.363,53.128,46.74,0.929,3740.874,2000.273,689.962,186.588,3.897,2940745466088
2002,1032.75,598.539,325.889,57.609,49.111,0.941,3870.809,1994.045,683.408,180.288,3.932,3024984520809
2003,1068.398,625.833,331.333,58.565,50.88,0.957,4008.71,2059.556,695.315,186.553,3.864,3251114494190
2004,1134.611,669.993,348.992,58.316,55.545,0.999,4352.651,2129.202,705.392,193.083,3.966,3495022816540
2005,1195.393,721.496,353.15,59.357,59.687,1.035,4608.417,2205.413,721.894,201.701,4.039,3752627653422
2006,1293.321,773.551,370.544,82.58,64.905,1.103,4854.867,2324.594,733.283,211.708,4.227,4069856052453
2007,1393.485,842.536,392.818,87.956,68.333,1.17,5268.96,2485.674,749.827,222.493,4.424,4403215224414
2008,1490.366,910.753,414.204,90.277,73.245,1.234,5576.529,2641.331,764.115,227.304,4.65,4649548164533
2009,1613.328,983.947,433.771,112.463,81.268,1.316,5988.39,2738.05,762.322,233.941,5.12,4993478894185
2010,1678.53,1015.983,440.692,134.121,86.029,1.35,6247.89,2848.131,769.342,242.128,5.038,5361371354007
2011,1765.695,1074.385,461.37,135.977,91.314,1.4,6587.01,2950.343,781.037,251.811,5.121,5720692888000
2012,1926.986,1206.452,491.148,125.558,100.237,1.507,6937.768,3164.01,783.911,254.287,5.513,6052427493607
2013,1995.337,1276.383,498.314,109.554,107.82,1.54,7163.062,3124.772,758.221,255.623,5.656,6424470752490
2014,2148.052,1407.057,513.84,107.801,115.825,1.637,7652.732,3216.867,765.858,259.789,6.057,6875186158349
2015,2231.817,1449.587,557.523,103.062,117.508,1.681,7892.49,3290.423,773.451,263.334,6.304,7391521519812
2016,2352.54,1499.401,616.112,109.989,123.281,1.75,8262.856,3365.011,781.626,262.254,6.647,8057465593010
2017,2425.722,1551.256,634.116,116.479,121.047,1.784,8571.671,3415.989,786.601,267.236,6.743,8550029645172
2018,2595.227,1668.318,658.715,126.74,138.965,1.888,9063.36,3616.201,800.125,275.219,7.065,9173201683791
2019,2611.175,1661.94,677.884,125.233,143.664,1.88,9281.595,3613.001,800.179,282.638,7.041,9595463242427
2020,2422.732,1561.799,607.535,127.684,122.908,1.727,8792.22,3436.429,807.835,289.398,6.891,8945313249462
2021,2675.778,1767.297,623.485,133.192,149.033,1.892,9544.969,3697.615,821.053,290.389,7.258,9801621018003
2022,2831.132,1855.854,684.014,124.009,164.331,1.986,10059.478,3869.995,835.674,298.332,7.544,10476248645535
2023,3062.756,2032.048,718.183,132.42,177.239,2.13,10827.859,4121.424,847.637,305.944,8.04,
2024,3193.478,2108.033,747.333,149.352,185.97,2.201,11336.057,4262.411,859.294,310.004,8.274,
